Index	Time (s)	Raw_ADC_Code
280	-3.110720000e+00	-32768
281	-3.110400000e+00	-32768
282	-3.110080000e+00	-32768
283	-3.109760000e+00	-32768
284	-3.109440000e+00	-32768
285	-3.109120000e+00	-32768
286	-3.108800000e+00	-32768
287	-3.108480000e+00	-32768
288	-3.108160000e+00	-32768
289	-3.107840000e+00	-32768
290	-3.107520000e+00	-32768
291	-3.107200000e+00	-32768
292	-3.106880000e+00	-32768
293	-3.106560000e+00	-32768
294	-3.106240000e+00	-32768
295	-3.105920000e+00	-32768
296	-3.105600000e+00	-32768
297	-3.105280000e+00	-32768
298	-3.104960000e+00	-32768
299	-3.104640000e+00	-32768
300	-3.104320000e+00	-32768
301	-3.104000000e+00	-32768
302	-3.103680000e+00	-32768
303	-3.103360000e+00	-32768
304	-3.103040000e+00	-32768
305	-3.102720000e+00	-32768
306	-3.102400000e+00	-32768
307	-3.102080000e+00	-32768
308	-3.101760000e+00	-32768
309	-3.101440000e+00	-32768
310	-3.101120000e+00	-32768
311	-3.100800000e+00	-32768
312	-3.100480000e+00	-32768
313	-3.100160000e+00	-32768
314	-3.099840000e+00	-32768
315	-3.099520000e+00	-32768
316	-3.099200000e+00	-32768
317	-3.098880000e+00	-32768
318	-3.098560000e+00	-32768
319	-3.098240000e+00	-32768
320	-3.097920000e+00	-32768
321	-3.097600000e+00	-32768
322	-3.097280000e+00	-32768
323	-3.096960000e+00	-32768
324	-3.096640000e+00	-32768
325	-3.096320000e+00	-32768
326	-3.096000000e+00	-32768
327	-3.095680000e+00	-32768
328	-3.095360000e+00	-32768
329	-3.095040000e+00	-32768
330	-3.094720000e+00	-32768
331	-3.094400000e+00	-32768
332	-3.094080000e+00	-32768
333	-3.093760000e+00	-32768
334	-3.093440000e+00	-32768
335	-3.093120000e+00	-32768
336	-3.092800000e+00	-32768
337	-3.092480000e+00	-32768
338	-3.092160000e+00	-32768
339	-3.091840000e+00	-32768
340	-3.091520000e+00	-32768
341	-3.091200000e+00	-32768
342	-3.090880000e+00	-32768
343	-3.090560000e+00	-32768
344	-3.090240000e+00	-32768
345	-3.089920000e+00	-32768
346	-3.089600000e+00	-32768
347	-3.089280000e+00	-32768
348	-3.088960000e+00	-32768
349	-3.088640000e+00	-32768
350	-3.088320000e+00	-32768
351	-3.088000000e+00	-32768
352	-3.087680000e+00	-32768
353	-3.087360000e+00	-32768
354	-3.087040000e+00	-32768
355	-3.086720000e+00	-32768
356	-3.086400000e+00	-32768
357	-3.086080000e+00	-32768
358	-3.085760000e+00	-32768
359	-3.085440000e+00	-32768
360	-3.085120000e+00	-32768
361	-3.084800000e+00	-32768
362	-3.084480000e+00	-32768
363	-3.084160000e+00	-32768
364	-3.083840000e+00	-32768
365	-3.083520000e+00	-32768
366	-3.083200000e+00	-32768
367	-3.082880000e+00	-32768
368	-3.082560000e+00	-32768
369	-3.082240000e+00	-32768
370	-3.081920000e+00	-32768
371	-3.081600000e+00	-32768
372	-3.081280000e+00	-32768
373	-3.080960000e+00	-32768
374	-3.080640000e+00	-32768
375	-3.080320000e+00	-32768
376	-3.080000000e+00	-32768
377	-3.079680000e+00	-32768
378	-3.079360000e+00	-32768
379	-3.079040000e+00	-32768
380	-3.078720000e+00	-32768
381	-3.078400000e+00	-32768
382	-3.078080000e+00	-32768
383	-3.077760000e+00	-32768
384	-3.077440000e+00	-32768
385	-3.077120000e+00	-32768
386	-3.076800000e+00	-32768
387	-3.076480000e+00	-32768
388	-3.076160000e+00	-32768
389	-3.075840000e+00	-32768
390	-3.075520000e+00	-32768
391	-3.075200000e+00	-32768
392	-3.074880000e+00	-32768
393	-3.074560000e+00	-32768
394	-3.074240000e+00	-32768
395	-3.073920000e+00	-32768
396	-3.073600000e+00	-32768
397	-3.073280000e+00	-32768
398	-3.072960000e+00	-32768
399	-3.072640000e+00	-32768
400	-3.072320000e+00	-32768
401	-3.072000000e+00	-32768
402	-3.071680000e+00	-32768
403	-3.071360000e+00	-32768
404	-3.071040000e+00	-32768
405	-3.070720000e+00	-32768
406	-3.070400000e+00	-32768
407	-3.070080000e+00	-32768
408	-3.069760000e+00	-32768
409	-3.069440000e+00	-32768
410	-3.069120000e+00	-32768
411	-3.068800000e+00	-32768
412	-3.068480000e+00	-32768
413	-3.068160000e+00	-32768
414	-3.067840000e+00	-32768
415	-3.067520000e+00	-32768
416	-3.067200000e+00	-32768
417	-3.066880000e+00	-32768
418	-3.066560000e+00	-32768
419	-3.066240000e+00	-32768
420	-3.065920000e+00	-32768
421	-3.065600000e+00	-32768
422	-3.065280000e+00	-32768
423	-3.064960000e+00	-32768
424	-3.064640000e+00	-32768
425	-3.064320000e+00	-32768
426	-3.064000000e+00	-32768
427	-3.063680000e+00	-32768
428	-3.063360000e+00	-32768
429	-3.063040000e+00	-32768
430	-3.062720000e+00	-32768
431	-3.062400000e+00	-32768
432	-3.062080000e+00	-32768
433	-3.061760000e+00	-32768
434	-3.061440000e+00	-32768
435	-3.061120000e+00	-32768
436	-3.060800000e+00	-32768
437	-3.060480000e+00	-32768
438	-3.060160000e+00	-32768
439	-3.059840000e+00	-32768
440	-3.059520000e+00	-32768
441	-3.059200000e+00	-32768
442	-3.058880000e+00	-32768
443	-3.058560000e+00	-32768
444	-3.058240000e+00	-32768
445	-3.057920000e+00	-32768
446	-3.057600000e+00	-32768
447	-3.057280000e+00	-32768
