Index	Time (s)	Voltage (V)
198	-3.136960000e+00	-2.621440000e+02
199	-3.136640000e+00	-2.621440000e+02
200	-3.136320000e+00	-2.621440000e+02
201	-3.136000000e+00	-2.621440000e+02
202	-3.135680000e+00	-2.621440000e+02
203	-3.135360000e+00	-2.621440000e+02
204	-3.135040000e+00	-2.621440000e+02
205	-3.134720000e+00	-2.621440000e+02
206	-3.134400000e+00	-2.621440000e+02
207	-3.134080000e+00	-2.621440000e+02
208	-3.133760000e+00	-2.621440000e+02
209	-3.133440000e+00	-2.621440000e+02
210	-3.133120000e+00	-2.621440000e+02
211	-3.132800000e+00	-2.621440000e+02
212	-3.132480000e+00	-2.621440000e+02
213	-3.132160000e+00	-2.621440000e+02
214	-3.131840000e+00	-2.621440000e+02
215	-3.131520000e+00	-2.621440000e+02
216	-3.131200000e+00	-2.621440000e+02
217	-3.130880000e+00	-2.621440000e+02
218	-3.130560000e+00	-2.621440000e+02
219	-3.130240000e+00	-2.621440000e+02
220	-3.129920000e+00	-2.621440000e+02
221	-3.129600000e+00	-2.621440000e+02
222	-3.129280000e+00	-2.621440000e+02
223	-3.128960000e+00	-2.621440000e+02
224	-3.128640000e+00	-2.621440000e+02
225	-3.128320000e+00	-2.621440000e+02
226	-3.128000000e+00	-2.621440000e+02
227	-3.127680000e+00	-2.621440000e+02
228	-3.127360000e+00	-2.621440000e+02
229	-3.127040000e+00	-2.621440000e+02
230	-3.126720000e+00	-2.621440000e+02
231	-3.126400000e+00	-2.621440000e+02
232	-3.126080000e+00	-2.621440000e+02
233	-3.125760000e+00	-2.621440000e+02
234	-3.125440000e+00	-2.621440000e+02
235	-3.125120000e+00	-2.621440000e+02
236	-3.124800000e+00	-2.621440000e+02
237	-3.124480000e+00	-2.621440000e+02
238	-3.124160000e+00	-2.621440000e+02
239	-3.123840000e+00	-2.621440000e+02
240	-3.123520000e+00	-2.621440000e+02
241	-3.123200000e+00	-2.621440000e+02
242	-3.122880000e+00	-2.621440000e+02
243	-3.122560000e+00	-2.621440000e+02
244	-3.122240000e+00	-2.621440000e+02
245	-3.121920000e+00	-2.621440000e+02
246	-3.121600000e+00	-2.621440000e+02
247	-3.121280000e+00	-2.621440000e+02
248	-3.120960000e+00	-2.621440000e+02
249	-3.120640000e+00	-2.621440000e+02
250	-3.120320000e+00	-2.621440000e+02
251	-3.120000000e+00	-2.621440000e+02
252	-3.119680000e+00	-2.621440000e+02
253	-3.119360000e+00	-2.621440000e+02
254	-3.119040000e+00	-2.621440000e+02
255	-3.118720000e+00	-2.621440000e+02
256	-3.118400000e+00	-2.621440000e+02
257	-3.118080000e+00	-2.621440000e+02
258	-3.117760000e+00	-2.621440000e+02
259	-3.117440000e+00	-2.621440000e+02
260	-3.117120000e+00	-2.621440000e+02
261	-3.116800000e+00	-2.621440000e+02
262	-3.116480000e+00	-2.621440000e+02
263	-3.116160000e+00	-2.621440000e+02
264	-3.115840000e+00	-2.621440000e+02
265	-3.115520000e+00	-2.621440000e+02
266	-3.115200000e+00	-2.621440000e+02
267	-3.114880000e+00	-2.621440000e+02
268	-3.114560000e+00	-2.621440000e+02
269	-3.114240000e+00	-2.621440000e+02
270	-3.113920000e+00	-2.621440000e+02
271	-3.113600000e+00	-2.621440000e+02
272	-3.113280000e+00	-2.621440000e+02
273	-3.112960000e+00	-2.621440000e+02
274	-3.112640000e+00	-2.621440000e+02
275	-3.112320000e+00	-2.621440000e+02
276	-3.112000000e+00	-2.621440000e+02
277	-3.111680000e+00	-2.621440000e+02
278	-3.111360000e+00	-2.621440000e+02
279	-3.111040000e+00	-2.621440000e+02
280	-3.110720000e+00	-2.621440000e+02
281	-3.110400000e+00	-2.621440000e+02
282	-3.110080000e+00	-2.621440000e+02
283	-3.109760000e+00	-2.621440000e+02
