set_mw,measured_mw,error_mw,error_pct,wavelength_nm,timestamp
4.7,1.545758466,-3.154241534,-67.11152200000001,,2026-02-09T14:12:29.131730
4.8,1.635671489,-3.164328511,-65.92351064583333,,2026-02-09T14:12:29.131730
4.9,1.6823820180000002,-3.217617982,-65.66567310204081,,2026-02-09T14:12:29.131730
5.0,1.7314739290000003,-3.2685260709999997,-65.37052141999999,,2026-02-09T14:12:29.131730
5.1,1.8252176360000003,-3.274782363999999,-64.21141890196077,,2026-02-09T14:12:29.131730
5.2,1.8665560649999997,-3.3334439350000005,-64.1046910576923,,2026-02-09T14:12:29.131730
5.3,1.931815593,-3.3681844069999998,-63.550649188679245,,2026-02-09T14:12:29.131730
5.4,2.010861435,-3.3891385650000005,-62.76182527777778,,2026-02-09T14:12:29.131730
5.5,2.05467851,-3.44532149,-62.64220890909091,,2026-02-09T14:12:29.131730
5.6,2.112414989,-3.4875850109999997,-62.278303767857146,,2026-02-09T14:12:29.131730
5.7,2.199332229,-3.5006677710000003,-61.41522405263158,,2026-02-09T14:12:29.131730
5.8,2.241868898,-3.558131102,-61.34708796551725,,2026-02-09T14:12:29.131730
5.9,2.3106276969999997,-3.5893723030000007,-60.836818694915266,,2026-02-09T14:12:29.131730
6.0,2.3871809469999996,-3.6128190530000004,-60.21365088333334,,2026-02-09T14:12:29.131730
6.1,2.451000736,-3.6489992639999995,-59.819660065573764,,2026-02-09T14:12:29.131730
6.2,2.491085648,-3.7089143520000003,-59.82119922580645,,2026-02-09T14:12:29.131730
6.3,2.5698289260000005,-3.7301710739999994,-59.209064666666656,,2026-02-09T14:12:29.131730
6.4,2.631967749,-3.768032251,-58.875503921874994,,2026-02-09T14:12:29.131730
6.5,2.6789794680000005,-3.8210205319999995,-58.78493126153845,,2026-02-09T14:12:29.131730
6.6,2.7601676989999997,-3.839832301,-58.1792772878788,,2026-02-09T14:12:29.131730
6.7,2.824038545,-3.875961455,-57.85017097014925,,2026-02-09T14:12:29.131730
6.8,2.8642760839999992,-3.9357239160000006,-57.87829288235295,,2026-02-09T14:12:29.131730
6.9,2.963800286,-3.9361997140000002,-57.04637266666667,,2026-02-09T14:12:29.131730
7.0,3.0101498589999998,-3.9898501410000002,-56.99785915714286,,2026-02-09T14:12:29.131730
7.1,3.0562957269999997,-4.0437042729999995,-56.953581309859146,,2026-02-09T14:12:29.131730
7.2,3.15062478,-4.04937522,-56.2413225,,2026-02-09T14:12:29.131730
7.3,3.2008453980000007,-4.099154601999999,-56.15280276712327,,2026-02-09T14:12:29.131730
7.4,3.2425597780000004,-4.157440222,-56.181624621621616,,2026-02-09T14:12:29.131730
7.5,3.338264092,-4.161735908,-55.48981210666667,,2026-02-09T14:12:29.131730
7.6,3.3841044169999996,-4.215895583,-55.47231030263158,,2026-02-09T14:12:29.131730
7.7,3.429333516,-4.270666484,-55.463201090909095,,2026-02-09T14:12:29.131730
7.8,3.5223383,-4.2776616999999995,-54.841816666666666,,2026-02-09T14:12:29.131730
7.9,3.56975731,-4.33024269,-54.813198607594934,,2026-02-09T14:12:29.131730
8.0,3.6084669650000003,-4.391533035,-54.8941629375,,2026-02-09T14:12:29.131730
8.1,3.710843391,-4.389156609,-54.18711862962963,,2026-02-09T14:12:29.131730
8.2,3.7579061710000006,-4.442093828999999,-54.17187596341463,,2026-02-09T14:12:29.131730
8.3,3.821012937,-4.478987063000001,-53.96369955421687,,2026-02-09T14:12:29.131730
8.4,3.8977189900000004,-4.50228101,-53.59858345238096,,2026-02-09T14:12:29.131730
8.5,3.949059964,-4.550940036,-53.54047101176471,,2026-02-09T14:12:29.131730
8.6,4.009976376999999,-4.590023623,-53.37236770930234,,2026-02-09T14:12:29.131730
8.7,4.084747098999999,-4.615252901,-53.04888391954024,,2026-02-09T14:12:29.131730
8.8,4.130434386,-4.669565614000001,-53.06324561363637,,2026-02-09T14:12:29.131730
8.9,4.196291882999999,-4.7037081170000015,-52.850653000000015,,2026-02-09T14:12:29.131730
9.0,4.271469637,-4.728530363,-52.53922625555556,,2026-02-09T14:12:29.131730
9.1,4.331367510000001,-4.768632489999999,-52.40255483516483,,2026-02-09T14:12:29.131730
9.2,4.376036581,-4.823963418999999,-52.434384989130436,,2026-02-09T14:12:29.131730
9.3,4.452895187999999,-4.847104812000001,-52.11940658064517,,2026-02-09T14:12:29.131730
9.4,4.514219380000001,-4.885780619999999,-51.97638957446807,,2026-02-09T14:12:29.131730
9.5,4.562860911,-4.937139089,-51.96988514736842,,2026-02-09T14:12:29.131730
