sample,section,sweep_index,sweep_prefix,file_name,Voltage_V,Current_A,Time_s
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-4.6,-0.0005495,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-4.4,-0.0005255,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-4.2,-0.0005008,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-4.0,-0.000477,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-3.8,-0.000452,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-3.6,-0.0004286,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-3.4,-0.0004039,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-3.2,-0.0003795,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-3.0,-0.0003551,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-2.8,-0.0003307,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-2.6,-0.0003063,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-2.4,-0.0002819,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-2.2,-0.0002581,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-2.0,-0.0002345,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-1.8,-0.0002098,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-1.6,-0.0001861,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-1.4,-0.0001628,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-1.2,-0.0001389,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-1.0,-0.0001152,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-0.8,-9.195e-05,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-0.6,-6.841e-05,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-0.4,-4.562e-05,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-0.2,-2.253e-05,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,0.0,7.092e-09,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,0.2,2.219e-05,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,0.4,4.468e-05,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,0.6,6.613e-05,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,0.8,8.799e-05,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,1.0,0.0001086,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,1.2,0.0001294,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,1.4,0.000151,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,1.6,0.0001712,1758000000.0
